"ENTITY_ID","ROUTE_NAME","START_CITY","END_CITY","CURRENT_CITY","PROGRESS_PERCENT","DIRECTION","ROUTE_MILES","ORIGIN_NODE","DESTINATION_NODE"
"TRUCK_001","LA to NYC via I-40/I-81","Los Angeles","New York","Oklahoma City",0,"OUTBOUND",3020,"LAX","NYC"
"TRUCK_002","Seattle to Miami via I-90/I-75","Seattle","Miami","Houston",0,"OUTBOUND",3010,"SEA","MIA"
"TRUCK_003","Boston to San Diego via I-80/I-15","Cleveland","San Diego","St Louis",0,"OUTBOUND",3020,"CLE","SDG"
"TRUCK_004","Minneapolis to Houston via I-35","Minneapolis","Houston","Charlotte",0,"OUTBOUND",3050,"MSP","HOU"
"TRUCK_005","Portland to Atlanta via I-84/I-70/I-75","Portland","Atlanta","Kansas City",0,"OUTBOUND",3030,"PDX","ATL"
"TRUCK_006","SF to Boston via I-80","San Francisco","Boston","Sacramento",0,"OUTBOUND",3020,"SFO","BOS"
"TRUCK_007","Seattle to Phoenix via I-5/I-10","Seattle","Phoenix","Birmingham",0,"OUTBOUND",3030,"SEA","PHX"
"TRUCK_008","NYC to LA via I-80/I-15","Pittsburgh","Los Angeles","Dallas",0,"OUTBOUND",3030,"PIT","LAX"
"TRUCK_009","Miami to Seattle via I-75/I-90","Miami","Seattle","Albuquerque",0,"OUTBOUND",3020,"MIA","SEA"
"TRUCK_010","Denver to Jacksonville via I-70/I-75","Denver","Jacksonville","Indianapolis",0,"OUTBOUND",3040,"DEN","JAX"
